#Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction
FOXG_22600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=131,-,Y (0.608),-,Apoplastic effector
FOXG_08159 | Fusarium oxysporum f. sp. lycopersici 4287 | DnaJ like subfamily C member 3 | protein | length=521,Y (0.664),-,-,Cytoplasmic effector
FOXG_02720 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=379,Y (0.501),-,-,Cytoplasmic effector
FOXG_05669 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=257,-,Y (0.783),-,Apoplastic effector
FOXG_14607 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=275,-,Y (0.516),-,Apoplastic effector
FOXG_11986 | Fusarium oxysporum f. sp. lycopersici 4287 | choline dehydrogenase | protein | length=673,-,-,Y (0.856),Non-effector
FOXG_03984 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=436,-,-,Y (0.802),Non-effector
FOXG_07390 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=480,-,-,Y (0.78),Non-effector
FOXG_12257 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=166,Y (0.515),-,-,Cytoplasmic effector
FOXG_17570 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=272,-,-,Y (0.828),Non-effector
FOXG_02588 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=412,-,-,Y (0.772),Non-effector
FOXG_21237 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=98,Y (0.82),Y (0.848),-,Apoplastic/cytoplasmic effector
FOXG_08474 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=641,-,-,Y (0.795),Non-effector
FOXG_13491 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=123,-,Y (0.935),-,Apoplastic effector
FOXG_16370 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=469,-,-,Y (0.885),Non-effector
FOXG_15330 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=213,-,Y (0.801),-,Apoplastic effector
FOXG_13743 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=220,-,Y (0.931),-,Apoplastic effector
FOXG_15329 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=426,-,-,Y (0.736),Non-effector
FOXG_05750 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=265,Y (0.706),Y (0.535),-,Cytoplasmic/apoplastic effector
FOXG_13474 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=539,-,-,Y (0.737),Non-effector
FOXG_05223 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=284,Y (0.551),-,-,Cytoplasmic effector
FOXG_02433 | Fusarium oxysporum f. sp. lycopersici 4287 | aminopeptidase Y | protein | length=508,-,-,Y (0.7),Non-effector
FOXG_11993 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=187,Y (0.775),-,-,Cytoplasmic effector
FOXG_15434 | Fusarium oxysporum f. sp. lycopersici 4287 | pectinesterase | protein | length=406,-,Y (0.608),-,Apoplastic effector
FOXG_13185 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=649,-,-,Y (0.962),Non-effector
FOXG_02308 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=353,-,-,Y (0.966),Non-effector
FOXG_04016 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=142,Y (0.853),Y (0.63),-,Cytoplasmic/apoplastic effector
FOXG_16838 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=353,-,-,Y (0.593),Non-effector
FOXG_09281 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=385,-,-,Y (0.639),Non-effector
FOXG_22366 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=78,-,Y (0.858),-,Apoplastic effector
FOXG_11151 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=585,-,-,Y (0.932),Non-effector
FOXG_08461 | Fusarium oxysporum f. sp. lycopersici 4287 | leucyl aminopeptidase | protein | length=394,Y (0.59),-,-,Cytoplasmic effector
FOXG_10923 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=265,-,-,Y (0.667),Non-effector
FOXG_09566 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=240,-,-,Y (0.511),Non-effector
FOXG_00876 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=823,-,-,Y (0.827),Non-effector
FOXG_09982 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=365,-,Y (0.73),-,Apoplastic effector
FOXG_16078 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=669,-,-,Y (0.911),Non-effector
FOXG_13769 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=234,Y (0.574),-,-,Cytoplasmic effector
FOXG_06969 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=454,Y (0.564),-,-,Cytoplasmic effector
FOXG_13018 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=687,-,-,Y (0.934),Non-effector
FOXG_11702 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=254,-,Y (0.592),-,Apoplastic effector
FOXG_13327 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=511,-,-,Y (0.982),Non-effector
FOXG_02258 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=134,-,Y (0.882),-,Apoplastic effector
FOXG_12753 | Fusarium oxysporum f. sp. lycopersici 4287 | hypoxia up-regulated 1 | protein | length=1007,-,-,Y (0.658),Non-effector
FOXG_12393 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=250,-,-,Y (0.685),Non-effector
FOXG_10371 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=277,-,-,Y (0.581),Non-effector
FOXG_06640 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=185,Y (0.64),-,-,Cytoplasmic effector
FOXG_09759 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=342,-,Y (0.684),-,Apoplastic effector
FOXG_04554 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=291,-,-,Y (0.622),Non-effector
FOXG_10361 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=423,-,-,Y (0.789),Non-effector
FOXG_14725 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=444,-,-,Y (0.837),Non-effector
FOXG_14818 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=248,-,-,Y (0.704),Non-effector
FOXG_03557 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=587,-,-,Y (0.953),Non-effector
FOXG_13466 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=374,-,-,Y (0.644),Non-effector
FOXG_13438 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=295,-,-,Y (0.687),Non-effector
FOXG_09174 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=168,-,Y (0.732),-,Apoplastic effector
FOXG_12141 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=426,-,-,Y (0.743),Non-effector
FOXG_07442 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1134,-,Y (0.543),-,Apoplastic effector
FOXG_05468 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=167,-,-,Y (0.55),Non-effector
FOXG_12416 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=249,-,Y (0.516),-,Apoplastic effector
FOXG_19438 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=441,-,-,Y (0.779),Non-effector
FOXG_13250 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=526,-,-,Y (0.651),Non-effector
"FOXG_11327 | Fusarium oxysporum f. sp. lycopersici 4287 | ATP-binding cassette, subfamily G (WHITE), member 2 | protein | length=1014",-,-,Y (0.96),Non-effector
FOXG_09629 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=530,-,-,Y (0.804),Non-effector
FOXG_11735 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-galactosidase | protein | length=1002,-,-,Y (0.8),Non-effector
FOXG_07401 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=412,-,-,Y (0.944),Non-effector
FOXG_10245 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=397,-,-,Y (0.637),Non-effector
FOXG_14363 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=536,-,-,Y (0.958),Non-effector
FOXG_08378 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=345,Y (0.611),-,-,Cytoplasmic effector
FOXG_06807 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=114,Y (0.734),Y (0.774),-,Apoplastic/cytoplasmic effector
FOXG_07797 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=404,-,Y (0.743),-,Apoplastic effector
FOXG_18370 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=368,-,-,Y (0.686),Non-effector
FOXG_09523 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=357,-,-,Y (0.896),Non-effector
FOXG_05796 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=526,Y (0.728),-,-,Cytoplasmic effector
FOXG_05447 | Fusarium oxysporum f. sp. lycopersici 4287 | amidohydrolase ytcJ-like | protein | length=595,-,-,Y (0.981),Non-effector
FOXG_02278 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=383,-,-,Y (0.769),Non-effector
FOXG_13556 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=125,Y (0.66),-,-,Cytoplasmic effector
FOXG_03808 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=228,Y (0.658),-,-,Cytoplasmic effector
FOXG_04415 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=195,-,-,Y (0.542),Non-effector
FOXG_07524 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=413,-,-,Y (0.647),Non-effector
FOXG_04813 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=571,-,-,Y (0.56),Non-effector
FOXG_06356 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=226,-,-,Y (0.73),Non-effector
FOXG_02355 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=181,-,Y (0.839),-,Apoplastic effector
FOXG_02900 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=186,-,-,Y (0.543),Non-effector
FOXG_07723 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=236,-,Y (0.751),-,Apoplastic effector
FOXG_16548 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=429,-,-,Y (0.891),Non-effector
FOXG_03811 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=292,-,-,Y (0.669),Non-effector
FOXG_03493 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=421,-,-,Y (0.793),Non-effector
FOXG_02901 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=605,-,-,Y (0.926),Non-effector
FOXG_06706 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=539,-,-,Y (0.927),Non-effector
FOXG_16779 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=265,-,Y (0.57),-,Apoplastic effector
FOXG_14537 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=143,-,Y (0.708),-,Apoplastic effector
FOXG_02747 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=303,-,-,Y (0.662),Non-effector
FOXG_00569 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=245,-,Y (0.672),-,Apoplastic effector
FOXG_04429 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=458,-,-,Y (0.746),Non-effector
FOXG_11964 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=314,-,Y (0.778),-,Apoplastic effector
FOXG_11474 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=768,-,-,Y (0.964),Non-effector
FOXG_04870 | Fusarium oxysporum f. sp. lycopersici 4287 | serine/threonine protein kinase | protein | length=350,-,-,Y (0.795),Non-effector
"FOXG_09848 | Fusarium oxysporum f. sp. lycopersici 4287 | xylan 1,4-beta-xylosidase | protein | length=554",-,-,Y (0.909),Non-effector
FOXG_02605 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=424,-,-,Y (0.887),Non-effector
FOXG_05199 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=164,-,Y (0.888),-,Apoplastic effector
FOXG_12381 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=436,-,-,Y (0.713),Non-effector
FOXG_19339 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=172,-,-,Y (0.889),Non-effector
FOXG_14660 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=484,-,-,Y (0.539),Non-effector
FOXG_00433 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=501,Y (0.765),-,-,Cytoplasmic effector
FOXG_09883 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=158,-,Y (0.558),-,Apoplastic effector
FOXG_13293 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=491,-,-,Y (0.653),Non-effector
FOXG_06106 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=357,-,Y (0.746),-,Apoplastic effector
FOXG_20799 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=165,-,-,Y (0.684),Non-effector
FOXG_09671 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=419,Y (0.578),-,-,Cytoplasmic effector
FOXG_09454 | Fusarium oxysporum f. sp. lycopersici 4287 | agmatinase | protein | length=390,-,-,Y (0.879),Non-effector
FOXG_19319 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=172,-,-,Y (0.889),Non-effector
FOXG_02340 | Fusarium oxysporum f. sp. lycopersici 4287 | alkaline phosphatase | protein | length=626,-,-,Y (0.804),Non-effector
FOXG_15891 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=449,-,-,Y (0.852),Non-effector
FOXG_13410 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=395,-,-,Y (0.87),Non-effector
FOXG_17608 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=549,-,-,Y (0.765),Non-effector
FOXG_02361 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=429,-,-,Y (0.825),Non-effector
FOXG_15242 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=378,-,-,Y (0.943),Non-effector
FOXG_02349 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-glucosidase | protein | length=893,-,-,Y (0.934),Non-effector
FOXG_14706 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=297,-,Y (0.515),-,Apoplastic effector
FOXG_05889 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=256,-,Y (0.704),-,Apoplastic effector
FOXG_16606 | Fusarium oxysporum f. sp. lycopersici 4287 | cutinase 3 | protein | length=230,-,-,Y (0.648),Non-effector
FOXG_04389 | Fusarium oxysporum f. sp. lycopersici 4287 | Fe-Mn family superoxide dismutase | protein | length=258,-,-,Y (0.848),Non-effector
FOXG_04859 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=267,-,-,Y (0.668),Non-effector
FOXG_04089 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=252,-,Y (0.632),-,Apoplastic effector
FOXG_11375 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=289,Y (0.782),-,-,Cytoplasmic effector
FOXG_16281 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=244,-,Y (0.522),-,Apoplastic effector
FOXG_08966 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=670,-,-,Y (0.866),Non-effector
FOXG_07134 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=391,-,-,Y (0.95),Non-effector
FOXG_01306 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=371,-,-,Y (0.631),Non-effector
FOXG_08230 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=532,-,-,Y (0.877),Non-effector
FOXG_04641 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=418,-,-,Y (0.804),Non-effector
FOXG_02832 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=407,-,-,Y (0.526),Non-effector
FOXG_02054 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=163,-,-,Y (0.552),Non-effector
FOXG_09819 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-galactosidase | protein | length=1021,-,-,Y (0.861),Non-effector
FOXG_10186 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=285,-,-,Y (0.547),Non-effector
FOXG_05281 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=155,-,-,Y (0.616),Non-effector
FOXG_02457 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=316,Y (0.51),-,-,Cytoplasmic effector
FOXG_00461 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=156,-,Y (0.76),-,Apoplastic effector
FOXG_22212 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=386,-,-,Y (0.671),Non-effector
FOXG_11746 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=225,Y (0.89),-,-,Cytoplasmic effector
FOXG_04542 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=734,-,-,Y (0.894),Non-effector
FOXG_17167 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-glucosidase | protein | length=632,-,-,Y (0.898),Non-effector
"FOXG_11769 | Fusarium oxysporum f. sp. lycopersici 4287 | mannosyl-oligosaccharide alpha-1,2-mannosidase | protein | length=543",-,-,Y (0.814),Non-effector
FOXG_07749 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=259,-,-,Y (0.983),Non-effector
FOXG_02677 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-galactosidase | protein | length=406,-,-,Y (0.81),Non-effector
FOXG_02639 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=197,Y (0.62),Y (0.836),-,Apoplastic/cytoplasmic effector
FOXG_16120 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=223,-,Y (0.741),-,Apoplastic effector
FOXG_04842 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=276,-,-,Y (0.703),Non-effector
FOXG_04056 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=347,-,-,Y (0.568),Non-effector
FOXG_10728 | Fusarium oxysporum f. sp. lycopersici 4287 | pectate lyase E | protein | length=254,Y (0.598),Y (0.949),-,Apoplastic/cytoplasmic effector
FOXG_17013 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=413,-,-,Y (0.751),Non-effector
FOXG_05664 | Fusarium oxysporum f. sp. lycopersici 4287 | pectate lyase | protein | length=175,Y (0.677),Y (0.997),-,Apoplastic/cytoplasmic effector
FOXG_12330 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=329,-,Y (0.601),-,Apoplastic effector
FOXG_07911 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=770,-,-,Y (0.867),Non-effector
FOXG_15685 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=508,-,-,Y (0.974),Non-effector
FOXG_10043 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=551,-,-,Y (0.832),Non-effector
FOXG_13640 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=469,-,-,Y (0.915),Non-effector
FOXG_02797 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=729,-,-,Y (0.987),Non-effector
FOXG_04672 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1179,-,-,Y (0.837),Non-effector
FOXG_00934 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1031,-,-,Y (0.803),Non-effector
FOXG_09814 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=371,-,-,Y (0.585),Non-effector
FOXG_11044 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=255,Y (0.781),Y (0.69),-,Cytoplasmic/apoplastic effector
FOXG_14951 | Fusarium oxysporum f. sp. lycopersici 4287 | endoglucanase | protein | length=350,-,Y (0.525),-,Apoplastic effector
FOXG_12407 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=335,-,-,Y (0.519),Non-effector
FOXG_18506 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-glucosidase | protein | length=770,-,-,Y (0.793),Non-effector
FOXG_19189 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=756,-,-,Y (0.914),Non-effector
FOXG_16638 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=413,-,-,Y (0.559),Non-effector
"FOXG_17562 | Fusarium oxysporum f. sp. lycopersici 4287 | endo-beta-1,6-galactanase | protein | length=482",-,-,Y (0.894),Non-effector
FOXG_05843 | Fusarium oxysporum f. sp. lycopersici 4287 | protein disulfide-isomerase | protein | length=505,Y (0.693),-,-,Cytoplasmic effector
FOXG_14792 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=514,-,-,Y (0.545),Non-effector
"FOXG_01051 | Fusarium oxysporum f. sp. lycopersici 4287 | mannosyl-oligosaccharide alpha-1,2-mannosidase | protein | length=884",-,-,Y (0.988),Non-effector
FOXG_02663 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=573,-,-,Y (0.86),Non-effector
FOXG_08563 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=245,Y (0.704),-,-,Cytoplasmic effector
FOXG_00102 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-N-acetylhexosaminidase | protein | length=583,-,-,Y (0.852),Non-effector
FOXG_03778 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=641,-,-,Y (0.867),Non-effector
FOXG_12287 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=716,-,-,Y (0.86),Non-effector
FOXG_09843 | Fusarium oxysporum f. sp. lycopersici 4287 | oxalate decarboxylase | protein | length=493,-,-,Y (0.883),Non-effector
FOXG_05768 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=263,Y (0.553),-,-,Cytoplasmic effector
FOXG_06245 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=336,Y (0.657),-,-,Cytoplasmic effector
FOXG_04355 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=737,-,-,Y (0.9),Non-effector
FOXG_18029 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=82,-,Y (0.769),-,Apoplastic effector
FOXG_02734 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=775,-,-,Y (0.899),Non-effector
FOXG_16909 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=500,-,-,Y (0.818),Non-effector
FOXG_13355 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=438,-,-,Y (0.68),Non-effector
FOXG_00836 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=462,-,-,Y (0.632),Non-effector
FOXG_00156 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=83,-,-,Y (0.666),Non-effector
FOXG_20293 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=571,-,-,Y (0.783),Non-effector
FOXG_04223 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=921,-,-,Y (0.98),Non-effector
FOXG_16943 | Fusarium oxysporum f. sp. lycopersici 4287 | glycosyl hydrolase family 17 | protein | length=302,-,-,Y (0.575),Non-effector
FOXG_02464 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=560,Y (0.527),-,-,Cytoplasmic effector
FOXG_09810 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=648,-,-,Y (0.758),Non-effector
FOXG_14690 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=253,-,-,Y (0.887),Non-effector
FOXG_04896 | Fusarium oxysporum f. sp. lycopersici 4287 | subtilisin | protein | length=396,-,-,Y (0.51),Non-effector
FOXG_09703 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=473,-,-,Y (0.821),Non-effector
FOXG_02321 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=161,Y (0.509),-,-,Cytoplasmic effector
FOXG_15257 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-glucosidase | protein | length=752,-,-,Y (0.928),Non-effector
FOXG_09644 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-glucuronidase | protein | length=842,-,-,Y (0.861),Non-effector
FOXG_05026 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=432,-,-,Y (0.941),Non-effector
FOXG_02906 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=144,-,Y (0.711),-,Apoplastic effector
FOXG_11878 | Fusarium oxysporum f. sp. lycopersici 4287 | acid phosphatase | protein | length=456,-,-,Y (0.79),Non-effector
FOXG_02825 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=724,-,-,Y (0.933),Non-effector
FOXG_08922 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=91,-,Y (0.865),-,Apoplastic effector
